formula,Km,Kcat,Syngony,length,width,depth,pol,surf,Subtype,ph,temp,Cper,Csub,Ccat
CoFe2O4,0.00645,12 306.45,7,4.1,4.1,4.1,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.05537,2 363.29,7,13.8,13.8,13.8,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.03551,74 779.37,7,4.1,4.1,4.1,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.22769,3 918.25,7,13.8,13.8,13.8,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.01725,9 184.91,7,24.5,24.5,24.5,1,1,H2O2,4,37,100,15,0.02624
CoFe2O4,0.02427,6 038.32,7,32.1,32.1,32.1,1,1,H2O2,4,37,100,15,0.02624
CoFe2O4,0.03476,5 783.49,7,45.2,45.2,45.2,1,1,H2O2,4,37,100,15,0.02624
CoFe2O4,0.03934,11 456.99,7,24.5,24.5,24.5,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.06607,8 229.04,7,32.1,32.1,32.1,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.11073,9 319.03,7,45.2,45.2,45.2,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.0752,7.4920497,7,14,14,14,0,1,H2O2,6,25,100,15,0.008
MnFe2O4,0.0146,3 219.73,7,4,4,4,1,0,TMB,3.5,37,10,1.5,0.5
MnFe2O4,0.964,162.83184,7,16,16,16,1,0,TMB,3.5,37,10,1.5,0.5
MnFe2O4,0.258,714.984,7,18,18,18,1,0,TMB,3.5,37,10,1.5,0.5
MnFe2O4,0.33,336.7344,7,27,27,27,1,0,TMB,3.5,37,10,1.5,0.5
MnFe2O4,0.112,3 298.15,7,4,4,4,1,0,H2O2,3.5,37,10,1.5,0.5
MnFe2O4,0.543,237.5592,7,16,16,16,1,0,H2O2,3.5,37,10,1.5,0.5
MnFe2O4,0.242,2 278.72,7,18,18,18,1,0,H2O2,3.5,37,10,1.5,0.5
MnFe2O4,0.304,811.8528,7,27,27,27,1,0,H2O2,3.5,37,10,1.5,0.5
MnFe2O4,0.605,0.0031021,7,6,6,6,0,1,TMB,3.5,25,0,0.8,40
MnFe2O4,0.528,0.0012397,7,6,6,6,0,1,H2O2,3.5,25,0,0.8,40
MgFe2O4,0.67,0.0001045,7,220,220,220,1,0,TMB,4,45,13,0.4,40
MgFe2O4,0.14,0.000627,7,220,220,220,1,0,ABTS,4,45,12,0.4,40
MgFe2O4,4.61,0.000673,7,220,220,220,1,0,H2O2,4,45,12,0.4,40
NiFe2O4,0.55,0.0002678,7,200,200,200,1,0,TMB,4,45,13,0.4,40
NiFe2O4,0.46,0.0010243,7,200,200,200,1,0,ABTS,4,45,12,0.4,40
NiFe2O4,2.6,0.0008268,7,200,200,200,1,0,H2O2,4,45,12,0.4,40
ZnFe2O4,490.72,0.0152369,7,104,27,27,0,0,H2O2,4,25,176,10,1
ZnFe2O4,0.509,0.0221321,7,104,27,27,0,0,TMB,4,25,176,10,1
ZnFe2O4,0.85,0.0008022,7,200,200,200,1,0,TMB,4,40,0.2,0.32,40
ZnFe2O4,1.66,0.0004665,7,200,200,200,1,0,H2O2,4,40,0.2,0.32,40
NiCo2O4,0.142,0.0002674,2,100,100,100,1,0,TMB,4,37,0.2,4,20
NiCo2O4,9.406,0.003108,2,100,100,100,1,0,H2O2,4,37,0.2,4,20
CdCo2O4,0.317,0.0000032,7,250,50,50,1,0,TMB,4,35,3,8,2000
CdCo2O4,0.325,0.0000055,7,250,50,50,1,0,H2O2,4,35,3,8,2000
CuWO4,0.2,0.0293763,1,66,66,66,0,0,TMB,3,28,4.7,0.24,50
CuWO4,0.38,0.0007033,1,66,66,66,0,0,H2O2,3,28,4.7,0.24,50
FeWO4,1.18,0.0009169,2,5000,5000,1600,1,0,TMB,3,40,370,0.19,38
FeWO4,0.59,0.0001741,2,5000,5000,1600,1,0,H2O2,3,40,370,0.19,38
Co2V2O7,0.311,0.0000086,2,250,250,250,0,0,BA,5,30,8,0.5,1000
Co2V2O7,0.669,0.0000041,2,250,250,250,0,0,H2O2,5,30,8,0.5,1000
FeVO4,0.691,0.0000429,3,2000,100,100,0,0,TMB,4,25,10,0.8,100
FeVO4,0.0732,0.0000465,3,2000,100,100,0,0,H2O2,4,25,10,0.8,100
α-AgVO3,0.333,3.7744764,2,2000,500,500,0,0,TMB,4,25,0.6,0.4,20
α-AgVO3,1.3,0.0005558,2,2000,500,500,0,0,H2O2,4,25,0.6,0.4,20
β-AgVO3,0.04118,29.4435259,2,800,54,54,0,0,TMB,4,25,8,0.1,4.5
β-AgVO3,5.291,0.0053564,2,800,54,54,0,0,H2O2,4,25,8,0.1,4.5
CoMoO4,0.077,0.0074489,2,5000,300,300,0,0,TMB,4,25,20,8,15
AgVO3,8.03,0.0004384,2,1500,100,100,0,0,TMB,5,25,10,0.8,300
AgVO3,14,0.0000075,2,1500,100,100,0,0,H2O2,5,25,10,0.8,300
CoMoO4,1.115,0.0016955,2,5000,300,300,0,0,H2O2,4,25,20,8,15
CuMnO2,0.577,0.0000307,2,100,100,1.6,0,0,TMB,4.5,25,100,500,400
CuMnO2,27.653,0.000104,2,100,100,1.6,0,0,H2O2,4.5,25,100,500,400
Cu0.89Zn0.11O,100,0.0000229,5,7.5,7.5,7.5,0,0,TMB,4.65,25,200,10,100
Cu0.89Zn0.11O,71,0.0000024,5,7.5,7.5,7.5,0,0,H2O2,4.65,25,200,10,100
Fe2(MoO4)3,1.126,0.0000735,3,2000,200,200,0,0,TMB,4,25,10,8,300
Fe2(MoO4)3,0.106,0.0001481,3,2000,200,200,0,0,H2O2,4,25,10,8,300
0.10CeO2/CoO,0.245,0.0012171,7,600,600,600,0,0,H2O2,5,25,20,0.02,30
0.10CeO2/CoO,0.133,0.0090667,7,600,600,600,0,0,TMB,5,25,20,0.02,30
CoO/CeO2,1.81,0.0000267,7,1500,100,100,0,0,TMB,3.6,25,0.1,3,250
CoO/CeO2,0.021,0.0000277,7,1500,100,100,0,0,H2O2,3.6,25,0.1,3,250
Co3O4/CeO2,0.36,0.0002293,7,2000,200,200,1,0,TMB,6,30,1.2,0.8,300
Co3O4/CeO2,132,0.0000597,7,1003,103,103,1,0,H2O2,6,30,1.2,0.8,300
Fe3O4-CeO2,0.15,0.0000144,7,630,630,630,0,0,TMB,3.5,40,50,100,180
Fe3O4-CeO2,1.13,0.0002803,7,630,630,630,0,0,H2O2,3.5,40,50,100,180
Pd/CeO2,0.39,0.0099066,7,59,27,27,0,0,TMB,4,30,327,0.17,1.67
Pd/CeO2,9.43,0.0031855,7,59,27,27,0,0,H2O2,4,30,327,0.17,1.67
Ce-Fe3O4,0.018,0.0003097,7,15,15,15,0,0,TMB,4,25,0.4,0.2,15
Ce-Fe3O4,6.942,0.012389,7,15,15,15,0,0,H2O2,4,25,0.4,0.2,15
Fe3O4–MnO2,0.101,0.0000101,4,2000,2000,2000,0,0,TMB,4,40,20,0.3,180
Fe3O4–MnO2,0.041,0.000052,4,2000,2000,2000,0,0,H2O2,4,40,20,0.3,180
"Pt-WO2,72",0.105,0.000047,2,30,17,17,0,0,TMB,4,40,20,0.3,500
"Pt-WO2,72",8.45,0.0005374,2,30,17,17,0,0,H2O2,4,40,20,0.3,500
Fe3O4,0.107,0.0005588,7,15,15,15,0,0,TMB,4,25,0.4,0.2,15
Fe3O4,155,0.0014063,7,15,15,15,0,0,H2O2,4,25,0.4,0.2,15
Fe3O4,0.23,1.0150596,7,169.1,169.1,169.1,0,0,TMB,4,25,530,0.82,50
Fe3O4,0.46,0.0004404,7,215.7,185,185,0,0,TMB,4,25,530,0.82,50
Fe3O4,0.58,0.0002392,7,222.8,222.8,222.8,0,0,TMB,4,25,530,0.82,50
Fe3O4,3.89,0.0001921,7,246.6,246.6,246.6,0,0,TMB,4,40,20,0.3,180
Fe3O4,2.46,0.0001238,7,246.6,246.6,246.6,0,0,H2O2,4,40,20,0.3,180
MnO2,1.41,0.0000191,4,2000,2000,2000,0,0,TMB,4,40,20,0.3,180
MnO2,1.34,0.0000374,4,2000,2000,2000,0,0,H2O2,4,40,20,0.3,180
CuO,25,0.0000834,2,5,5,5,0,0,TMB,4.65,37,200,10,100
CuO,400,0.0001281,2,5,5,5,0,0,H2O2,4.65,37,200,10,100
GeO2,0.42,0.0305945,4,1000,100,100,0,0,TMB,4,25,4,1,0.8
GeO2,1.75,0.0305984,4,1000,100,100,0,0,H2O2,4,25,4,1,0.8
MoO2,0.014,0.0000205,2,44.6,20.8,20.8,0,0,H2O2,4,25,0.4,16,25.6
MoO2,8.85,0.0002599,2,44.6,20.8,20.8,0,0,TMB,4,25,0.4,16,25.6
WO3,10.6,0.0022171,4,30,6,6,0,0,TMB,2,25,0.06,1.4,1.6
WO3,1260,0.0043472,4,30,6,6,0,0,H2O2,2,25,0.06,1.4,1.6
"WO2,92",0.79,0.0000162,7,1.33,1.33,1.33,0,0,ABTS,6,37,4,0.8,350
"WO2,92",1.26,0.0000354,7,1.33,1.33,1.33,0,0,H2O2,6,37,4,0.8,350
W18O49,0.003,0.0057181,2,100,100,100,0,0,TMB,4,35,50,0.6,50
W18O49,8.734,0.0056259,2,100,100,100,0,0,H2O2,4,35,50,0.6,50
Au,0.2,0.0002187,7,14,14,14,0,0,TMB,3.6,25,373,0.58,47.8
Au,572.98,0.0003822,7,14,14,14,0,0,H2O2,3.6,25,373,0.58,47.8
Au,92.3,0.0001216,7,14,14,14,0,0,ABTS,3.6,25,373,0.58,47.8
Au,546.6,0.0001971,7,14,14,14,0,0,H2O2,3.6,25,373,0.58,47.8
y-Fe2O3,0.298,0.0023508,7,14.5,14.5,14.5,0,0,TMB,3.5,25,700,0.8,5
y-Fe2O3,146.7,0.0020346,7,14.5,14.5,14.5,0,0,H2O2,3.5,25,700,0.8,5
y-Fe2O3,0.0997,0.0166088,7,12.3,13.3,14.3,0,0,TMB,3.5,25,500,0.7,5
y-Fe2O3,144.3,0.0005877,7,12.3,13.3,14.3,0,0,H2O2,3.5,25,500,0.7,5
a-Fe2O3,0.5304,0.0017343,5,11.7,12.7,13.7,0,0,TMB,3.5,25,500,0.7,5
a-Fe2O3,127.92,0.0012041,5,11.7,12.7,13.7,0,0,H2O2,3.5,25,500,0.7,5
a-Fe2O3,0.768,0.0001667,5,110,110,110,0,0,TMB,4,37,880,0.24,4.79
a-Fe2O3,0.957,0.00021,5,100,100,100,0,0,TMB,4,37,880,0.24,4.79
a-Fe2O3,0.257,0.0005501,5,380,31,31,0,0,TMB,4,37,880,0.24,4.79
a-Fe2O3,0.317,0.0005101,5,330,30,30,0,0,TMB,4,37,880,0.24,4.79
a-Fe2O3,0.518,0.0003534,5,278,30,30,0,0,TMB,4,37,880,0.24,4.79
Fe3O4,0.098,0.0003983,7,300,300,300,0,0,TMB,3.5,40,530,0.82,20
Fe3O4,154,0.0011323,7,300,300,300,0,0,H2O2,3.5,40,530,0.82,20
Fe3O4,0.374,0.0002007,7,13,13,13,0,0,TMB,7.5,30,250,1,30
Fe3O4,54.6,0.0001389,7,13,13,13,0,0,H2O2,7.5,30,250,1,30
Fe3O4,0.26,0.0000163,7,500,500,500,0,0,TMB,4,25,10,0.5,50
Fe3O4,6.66,0.000006,7,500,500,500,0,0,H2O2,4,25,10,0.5,50
Fe3O4,0.295,0.0000333,7,30,30,30,0,0,TMB,4,25,10,0.5,50
Fe3O4,0.27,0.0001621,7,30,30,30,0,0,ABTS,4,25,10,0.5,50
Fe3O4,0.233,0.0308733,7,8.1,8.1,8.1,0,0,TMB,3.6,25,663.8,1.65,1.32
Fe3O4,479.91,0.0482396,7,8.1,8.1,8.1,0,0,H2O2,3.6,25,663.8,1.65,1.32
Co3O4,0.103,0.0467006,7,7.2,7.2,7.2,0,0,TMB,3.6,25,663.8,1.65,1.32
Co3O4,173.51,0.0344782,7,7.2,7.2,7.2,0,0,H2O2,3.6,25,663.8,1.65,1.32
NiO,0.018,0.000009,7,15,15,15,0,0,TMB,4,30,100,10,200
NiO,1.77,0.0000078,7,15,15,15,0,0,H2O2,4,30,100,10,200
NiO,0.036,0.1041062,7,4800,250,250,0,0,TMB,4,25,880,15,3000
NiO,8.17,0.0000158,7,4800,250,250,0,0,H2O2,4,25,880,15,3000
Co3O4,0.51,0.0000996,7,150,40,25,1,0,TMB,6,30,1.2,0.8,300
Co3O4,140.56,0.0000996,7,78,23,15.5,1,0,H2O2,6,30,1.2,0.8,300
CeO2,0.42,0.0000788,7,6,6,6,1,0,TMB,6,30,1.2,0.8,300
CeO2,138.31,0.0000228,7,6,6,6,1,0,H2O2,6,30,1.2,0.8,300
Co3O4,0.063,0.0002288,7,8.3,8.3,8.3,0,0,TMB,0,25,100,20,20
Co3O4,0.61,0.0003853,7,8.3,8.3,8.3,0,0,OPD,0,25,100,20,20
Co3O4,0.079,0.0095317,7,31.1,31.1,31.1,1,0,H2O2,4,40,0.01,0.01,12
Co3O4,0.015,70.0327078,7,31.1,31.1,31.1,1,0,TMB,4,40,0.01,0.01,12
Co3O4,0.091,0.031595,7,48.1,48.1,48.1,1,0,H2O2,4,40,0.01,0.01,12
Co3O4,0.013,70.0327078,7,48.1,48.1,48.1,1,0,TMB,4,40,0.01,0.01,12
Co3O4,0.0262,6.7757909,7,26.9,26.9,26.9,1,0,H2O2,4,40,0.01,0.01,12
Co3O4,0.012,0.0001946,7,26.9,26.9,26.9,0,0,TMB,4,40,0.01,0.01,12
Co3O4,0.037,0.0015098,7,20,20,20,0,0,TMB,5,25,50,0.25,10
Co3O4,140.07,0.0029137,7,20,20,20,0,0,H2O2,5,25,50,0.25,10
Co3O4,0.01513,74.3710171,7,125,35.7,35.7,0,0,TMB,4,30,880,2.8,11.3
Co3O4,0.8268,0.0028363,7,125,35.7,35.7,0,0,H2O2,4,30,880,2.8,11.3
Co3O4,0.082,0.0015772,7,68.4,642.2,642.2,1,0,TMB,6,25,2,0.25,10
Co3O4,2.22,0.0028463,7,68.4,642.2,642.2,1,0,H2O2,6,25,2,0.25,10
Co3O4,0.283,0.0008444,7,360,360,360,0,0,TMB,4.5,30,10,0.5,30
Co3O4,5.9322,0.0007906,7,360,360,360,0,0,H2O2,4.5,30,10,0.5,30
Co3O4,0.12,0.000002,7,30,3000,3000,0,0,TMB,4.4,40,25,0.8,40
Co3O4,245,0.0017157,7,30,3000,3000,0,0,H2O2,4.4,40,25,0.8,40
CeO2,0.3,0.0000907,7,215,50,50,0,0,TMB,4.5,32.5,3.5,0.3,160
CeO2,2.97,0.0000825,7,215,50,50,0,0,H2O2,4.5,32.5,3.5,0.3,160
CeO2,0.12,0.0000376,7,215,50,50,0,0,TMB+ATP,7.4,32.5,3.5,0.3,160
CeO2,0.62,0.0000337,7,215,50,50,0,0,H2O2+ATP,7.4,32.5,3.5,0.3,160
CeO2,0.24,0.0000275,7,32.7,10,10,0,0,TMB,4,25,1000,500,25
CeO2,0.217,0.0005645,7,13,13,13,0,0,TMB,4,25,1000,500,25
CeO2,153.6,0.0008399,7,13,13,13,0,0,H2O2,4,25,1000,500,25
CeO2,0.046,0.0000027,7,12,12,12,0,0,TMB*2HCl,4,45,50,5,600
CeO2,64.6,0.0000145,7,12,12,12,0,0,H2O2,4,45,50,5,600
CeO2,0.269,0.0000065,7,17,17,17,0,0,TMB,3.8,25,250,1,300
CeO2,3.182,0.0000053,7,17,17,17,0,0,H2O2,3.8,25,250,1,300
CeO2,0.274,0.0684137,7,47,4,4,0,0,TMB,3.8,40,25,2.5,0.04
CeO2,0.278,0.0374339,7,47,4,4,0,0,H2O2,3.8,40,25,2.5,0.04
CeO2,0.0753,0.0000017,7,100,21,24,0,0,TMB,3.8,40,25,0.05,40
CeO2,0.958,0.0000111,7,100,21,24,0,0,H2O2,3.8,40,25,0.05,40
CeO2,0.67,0.0000036,7,54,54,54,1,0,TMB,3.5,40,50,100,180
CeO2,2.5,0.0001594,7,54,54,54,1,0,H2O2,3.5,40,50,100,180
Fe3O4,3.33,0.0000033,7,590,590,590,0,0,TMB,3.5,40,50,100,180
Fe3O4,3.75,0.0001072,7,590,590,590,0,0,H2O2,3.5,40,50,100,180
CeO2,1.87,0.0002229,7,6,6,6,0,0,DAB,7.5,30,882,0.8,2
CeO2,12.45,0.0002229,7,12.4,12.4,12.4,0,0,DAB,7.5,30,882,0.8,2
CeO2,0.147,0.0022288,7,60,8,8,0,0,TMB,4,37,100,0.8,0.2
CeO2,293,0.00103,7,60,8,8,0,0,H2O2,4,37,100,0.8,0.2
CuO,0.016,79.611586,2,6,6,6,0,0,TMB,4,37,1500,0.67,4
CuO,41,0.0027988,2,6,6,6,0,0,H2O2,4,37,1500,0.67,4
CuO,0.14,0.0000021,2,21,14.5,14.5,0,0,TMB,4,25,3.3,10.4,545.5
CuO,0.013,6.9398691,2,30,30,30,0,0,TMB,4,40,1500,0.67,40
CuO,85.6,0.0000595,2,30,30,30,0,0,H2O2,4,40,1500,0.67,40
MnO2,0.08,0.0104328,4,500,45,45,0,0,ABTS,4,25,3,1,5
MnO2,0.06,0.0104328,4,500,45,45,0,0,H2O2,4,25,3,1,5
MnO2,0.08,0.0015215,4,50,50,3,0,0,TMB,4,25,10,0.6,20
MnO2,0.09,0.001478,4,50,50,3,0,0,H2O2,4,25,10,0.6,20
Pd,0.74,0.0028166,7,13.3,13.3,13.3,0,0,TMB,4,30,327,0.17,1.67
CeO2,0.45,0.0015871,7,58.5,13.5,13.5,0,0,TMB,4,27.5,327,0.17,1.67
Pd,4.5,0.0005353,7,13.3,13.3,13.3,0,0,H2O2,4,30,327,0.17,1.67
CeO2,28.63,0.0005153,7,58.5,13.5,13.5,0,0,H2O2,4,27.5,327,0.17,1.67
V2O5,0.0004,0.0057078,3,2000,100,100,0,0,ABTS,4,25,1,0.68,20
V2O5,0.0029,0.0057078,3,2000,100,100,0,0,H2O2,4,25,1,0.68,20
VO,0.0843,0.0009402,7,3.39,3.39,3.39,0,0,H2O2,3,30,0.3,1,200
VO,0.238,0.0009137,7,3.39,3.39,3.39,0,0,TMB,3,30,0.3,1,200
VO2,0.165,0.0000066,4,150,40,25,0,0,TMB,4,25,5,0.1,300
VO2,0.058,0.0000039,4,150,40,25,0,0,H2O2,4,25,5,0.1,300
VO2,0.146,0.0000109,2,700,103.1,103.1,0,0,TMB,5,25,5,0.1,10
VO2,1.69,0.0000147,2,700,103.1,103.1,0,0,H2O2,5,25,5,0.1,10
UO2,6.423,0.0003285,7,240,240,240,0,0,H2O2,4.5,25,4.5,0.4,4.8
UO2,0.549,0.0003539,7,240,240,240,0,0,TMB,4.5,25,4.5,0.4,4.8
Ir,0.12,0.2011903,7,2.4,2.4,2.4,0,0,TMB,4,20,2,0.25,0.12
Ir,3.27,0.3615338,7,2.4,2.4,2.4,0,0,H2O2,4,20,2,0.25,0.12
Fe3O4,1.22,0.0254126,7,10,10,10,0,0,ABTS,3.5,25,40,0,40
Cu2O,0.256,0.0000001,7,200,200,200,0,0,TMB,4,40,5,5,10000
Cu2O,0.86,0.0000003,7,200,200,200,0,0,H2O2,4,40,5,5,10000
Cu2O,0.128,0.0000002,7,200,200,200,0,0,TMB,4,40,5,5,10000
Cu2O,0.729,0.0000004,7,200,200,200,0,0,H2O2,4,40,5,5,10000
Cu2O,0.9,0.0005821,7,800,800,800,0,0,TMB,4,50,25,0.7,25
Cu2O,20.38,0.0004797,7,800,800,800,0,0,H2O2,4,50,25,0.7,25
Au-Cu2O,0.21,0.000348,7,850,850,850,0,0,TMB,4,50,25,0.7,25
Au-Cu2O,10.56,0.0003824,7,850,850,850,0,0,H2O2,4,50,25,0.7,25
RuO2,0.099,0.001397,7,2,2,2,0,0,TMB,3,25,1,1,20
RuO2,0.146,0.001397,7,2,2,2,0,0,H2O2,3,25,1,1,20
Au-CeO2,0.29,0.0000447,7,75,75,75,0,1,TMB,4,45,2000,1,150
Au-CeO2,44.69,0.0000256,7,75,75,75,0,1,H2O2,4,45,2000,1,150
ZnCo2O4,0.23,0.0000117,7,250,250,250,1,0,H2O2,5,45,100,50,1000
ZnCo2O4,0.4,0.0000146,7,250,250,250,1,0,OPD,5,45,100,50,1000
LaCoO3,0.24,8.579816,5,70,70,70,0,1,TMB,6,25,100,25,0.01
LaCoO3,15,8.6044,5,70,70,70,0,1,H2O2,6,25,100,25,0.01
LaNiO3,0.105,0.0088911,7,600,600,600,0,1,TMB,4.5,37,40,1,10
LaNiO3,90.05,0.0638586,7,600,600,600,0,1,H2O2,4.5,37,40,1,10
CeVO4,1.326,0.0000307,4,80,10,10,0,1,TMB,4,25,2,0.8,300
CeVO4,0.157,0.0000725,4,80,10,10,0,1,H2O2,4,25,2,0.8,300
Tb2(MoO4)3,0.911,0.0000016,4,300,300,40,0,0,TMB,4,25,0.2,1.3,5000
Tb2(MoO4)3,0.035,0.0000043,4,300,300,40,0,0,H2O2,4,25,0.2,1.3,5000
NiPd,0.11,0.0005577,5,40,40,40,0,1,TMB,5,25,50,0.25,4.5
NiPd,0.66,0.0096052,5,40,40,40,0,1,H2O2,5,25,50,0.25,4.5
NiTe,0.11,0.000004,5,5000,45,45,0,0,ABTS,4,30,0.1,60,2000
Pt,1.361,0.0060419,7,30,30,30,0,1,TMB,4,22,1000,100,100
Pt,0.42,0.0003637,7,2,2,2,0,1,TMB,5,22,500,0.42,16.2
Pt,0.096,0.0000184,7,3,3,3,0,0,TMB,5,30,10,0.5,1500
Pt,3.07,0.0000236,7,3,3,3,0,0,H2O2,5,30,10,0.5,1500
Ru,0.234,0.0500297,2,25,25,25,0,0,TMB,7.4,22,0.1,0.1,10
Ru,2.206,0.3533407,2,25,25,25,0,0,H2O2,7.4,22,0.1,0.1,10
